timestamp,Team1,Team2,Conf1,Conf2
-1424736000,Chattanooga,Birmingham-Southern,FBS Independents,FBS Independents
-1424736000,California,Washington,Pacific,Pacific
-1424736000,Texas A&M,TCU,Southwest,Southwest
-1424736000,Vanderbilt,Mississippi State,Southern,Southern
-1424736000,SMU,Arkansas,Southwest,Southwest
-1424476800,Duke,Wake Forest,FBS Independents,FBS Independents
-1424476800,Western Colorado,BYU,FBS Independents,Rocky Mountain
-1424217600,Mercer,Florida,FBS Independents,Southern
-1424217600,Birmingham-Southern,Rhodes College,FBS Independents,
-1424217600,Millsaps,Samford,FBS Independents,FBS Independents
-1424131200,Quantico Marines,Carnegie Mellon,,FBS Independents
-1424131200,Saint Louis,Oglethorpe,,FBS Independents
-1424131200,USC,Whittier,Pacific,
-1424131200,Pittsburgh,Washington & Jefferson,FBS Independents,FBS Independents
-1424131200,Newberry,Rollins,FBS Independents,
-1424131200,Davidson,North Carolina,FBS Independents,Southern
-1424131200,Notre Dame,Nebraska,FBS Independents,Missouri Valley
-1424131200,Alabama,Centre College Kentucky,Southern,FBS Independents
-1424131200,NC State,Maryland,Southern,Southern
-1424131200,Stanford,Montana,Pacific,Pacific
-1424131200,TCU,Texas,Southwest,Southwest
-1424131200,Minnesota,Illinois,Western,Western
-1424131200,Tulane,Tennessee,Southern,Southern
-1424131200,Ohio State,Michigan,Western,Western
-1424131200,Kansas,Oklahoma,Missouri Valley,Missouri Valley
-1424131200,Wisconsin,Iowa,Western,Western
-1424131200,Puget Sound,Washington,,Pacific
-1424131200,West Virginia,Washington and Lee,FBS Independents,Southern
-1424131200,Albright,William & Mary,,FBS Independents
-1424131200,Syracuse,Niagara,FBS Independents,
-1424131200,The Citadel,Clemson,FBS Independents,Southern
-1424131200,Kentucky,VMI,Southern,Southern
-1424131200,Virginia Tech,Virginia,Southern,Southern
-1424131200,Penn State,Pennsylvania,FBS Independents,FBS Independents
-1424131200,Georgia Tech,Vanderbilt,Southern,Southern
-1424131200,Mississippi State,Mississippi College,Southern,FBS Independents
-1424131200,Gonzaga,Whitman,FBS Independents,FBS Independents
-1424131200,Grinnell,Iowa State,Missouri Valley,Missouri Valley
-1424131200,California,Nevada,Pacific,
-1424131200,LSU,Northwestern State,Southern,
-1424131200,Baylor,SMU,Southwest,Southwest
-1424131200,BYU,Colorado School Of Mines,Rocky Mountain,Rocky Mountain
-1424131200,Arkansas,Phillips,Southwest,
-1424131200,Princeton,Yale,FBS Independents,FBS Independents
-1424131200,Wofford,Presbyterian,FBS Independents,FBS Independents
-1424131200,Georgia,Auburn,Southern,Southern
-1424131200,Northern Colorado,Colorado State,Rocky Mountain,Rocky Mountain
-1424131200,Kansas State,Drake,Missouri Valley,Missouri Valley
-1424131200,Dartmouth,Cornell,FBS Independents,FBS Independents
-1424131200,Columbia,Army,FBS Independents,FBS Independents
-1424131200,Harvard,Brown,FBS Independents,FBS Independents
-1424131200,Furman,Ole Miss,FBS Independents,Southern
-1424131200,Chattanooga,Georgetown (Kentucky),FBS Independents,
-1424131200,Hampden-Sydney,Richmond,,FBS Independents
-1424131200,Indiana,Wabash College,Western,
-1424131200,Colorado,Denver,Rocky Mountain,Rocky Mountain
-1424131200,Chicago,Northwestern,Western,Western
